中央电视台,#genre#

CCTV1综合,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV2财经,http://cfss.cc/api/ysp/cctv2.m3u8
CCTV3综艺,http://cfss.cc/api/ysp/cctv3.m3u8
CCTV4国际,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV5体育,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV5+体育,http://cfss.cc/api/ysp/cctv5p.m3u8
CCTV6电影,http://cfss.cc/api/ysp/cctv6.m3u8
CCTV7军事,http://cfss.cc/api/ysp/cctv7.m3u8
CCTV8电视剧,http://cfss.cc/api/ysp/cctv8.m3u8
CCTV9记录,http://cfss.cc/api/ysp/cctv9.m3u8
CCTV10科教,http://cfss.cc/api/ysp/cctv10.m3u8
CCTV11戏曲,http://cfss.cc/api/ysp/cctv11.m3u8
CCTV12社会与法,http://cfss.cc/api/ysp/cctv12.m3u8
CCTV13新闻,http://cfss.cc/api/ysp/cctv13.m3u8
CCTV14少儿,http://cfss.cc/api/ysp/cctv14.m3u8
CCTV15音乐,http://cfss.cc/api/ysp/cctv15.m3u8
CCTV16奥林匹克,http://cfss.cc/api/ysp/cctv16.m3u8
CCTV17农业,http://cfss.cc/api/ysp/cctv17.m3u8

CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV5+体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8


CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV3,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
